DateTime,Voltage Line 1 [V],Voltage Line 2 [V],Voltage Line 3 [V],Current in Line 1 [Amp],Current in Line 2 [Amp],Current in Line 3 [Amp],Combined Active Power Line 1+2 +3 (watt),Combined Apparent Power Line 1+2+3,Combined Reactive Power Line 1+2+3,Power Factor Line 1 (PF),Power Factor Line 2 (PF),Power Factor Line 3 (PF),Current Neutral Line,Total Current in Line 1+2+3,Active Total Energy (Wh) [Wh],Reactive Total Energy (VARh) [VARh],Apparent Total Energy (Vah) [Vah],Temp,Hi,Low
2/8/2020 0:00,232.39,232.27,230.53,80.68,78.04,91.81,56683.98,57983.59,11684.22,0.99,0.99,0.96,18.17,250.42,4282350848,1891807744,4681609216,28.7,29.6,27.6
2/8/2020 1:00,234.3,234.51,232.35,92.21,78.21,91.04,59487.19,61091.12,13601.32,0.98,0.98,0.95,23.96,261.31,4282409472,1891820160,4681668096,26,27.4,25.2
2/8/2020 2:00,234.14,233.59,231.74,80.72,69.16,80.74,52798.79,53770.52,8885.98,1,0.99,0.96,25.79,230.61,4282467584,1891832064,4681725952,25.9,26.9,25.1
2/8/2020 3:00,234.99,234.59,232.55,85.04,72.15,88.16,55698.04,57424.54,13030.89,0.98,0.99,0.96,24.14,245.26,4282525952,1891843968,4681783808,25.3,26.4,24.4
2/8/2020 4:00,233.6,233.55,231.91,81.88,65.06,81.17,52330.48,53163.79,8584.88,0.99,0.99,0.97,25.93,228.12,4282584320,1891856896,4681842688,24.7,26.3,24.1
2/8/2020 5:00,232.96,233.52,231.86,97.49,79.11,97.57,62136.29,63825.89,12924.87,0.99,0.99,0.95,34.48,274.14,4282642688,1891868800,4681901056,23.9,24.3,23.2
2/8/2020 6:00,230.51,231.7,229.19,95.82,75.33,94.54,59930.95,61278.93,11626.35,0.99,1,0.95,35.19,265.68,4282700800,1891880192,4681958400,23.2,23.5,22.8
2/8/2020 7:00,231,231.82,229.79,88.07,76.17,92.79,57888.77,59374.36,11491.92,0.99,1,0.95,31.07,257.08,4282760448,1891892096,4682018304,24.1,25.2,23.2
2/8/2020 8:00,233.97,234.63,232.74,85.81,73.86,87.16,56445.31,57694.93,10147.2,1,1,0.94,31.84,246.84,4282819840,1891904512,4682077184,26.8,27.6,25
2/8/2020 9:00,232.88,233.78,231.71,111.49,101.08,109.5,69801.98,74936.63,26755.46,0.95,0.95,0.89,27.81,322.15,4282883840,1891921280,4682142720,27.8,28.6,27.3
2/8/2020 10:00,231.6,232.7,230.28,129.34,115.33,127.28,79568.63,86082.18,31913.93,0.95,0.95,0.88,35.27,371.99,4282959616,1891950464,4682223616,30.2,31.2,28.7
2/8/2020 11:00,230.8,232.01,229.57,124.47,112.09,123.44,78164.39,83098.44,27274.91,0.96,0.97,0.89,33.88,360.12,4283037952,1891980032,4682307584,31.8,32.4,31
2/8/2020 12:00,230.68,231.21,229,122.2,119.21,129.62,79584.15,85341.73,30097.99,0.95,0.95,0.89,24.61,370.83,4283121152,1892012160,4682396672,33,34.2,31.8
2/8/2020 13:00,232.96,233.89,231.69,140.99,134.05,145.37,90191.49,97782.88,37261.23,0.94,0.94,0.88,28.18,420.33,4283210752,1892048640,4682493440,35.2,36.1,34.1
2/8/2020 14:00,234.24,235.45,233.41,145.25,133.91,137.7,90253.34,97493.96,36570.33,0.94,0.94,0.89,30.02,416.77,4283294720,1892081792,4682583552,37.9,38.6,36.6
2/8/2020 15:00,231.96,233.18,230.92,131.66,127.33,130.6,83909.66,90407.03,32947.54,0.95,0.95,0.88,27.03,389.7,4283374848,1892112512,4682669056,38.1,38.7,37.7
2/8/2020 16:00,232.19,232.85,230.92,129.71,123.54,126.02,81792,88004.98,31598.32,0.95,0.95,0.89,26.54,379.23,4283451392,1892141440,4682750464,37.7,39.1,37
2/8/2020 17:00,232.42,233.55,231.54,108.55,92.07,104.87,69144.86,70929.91,15562.31,0.98,0.99,0.95,29.48,305.44,4283522048,1892158848,4682822656,38.4,39.7,36.8
2/8/2020 18:00,232.47,233.27,231.69,94.4,93.98,100.55,65260.19,67151.94,14742.94,0.99,0.99,0.94,18.67,289.04,4283587328,1892173056,4682887680,37.8,39,36.1
2/8/2020 19:00,231.88,233.44,231.21,90.93,82.42,93.32,60384.21,61851.24,12443.51,0.99,0.99,0.95,24.51,266.62,4283650560,1892187520,4682951680,36.5,37.6,35.6
2/8/2020 20:00,233.26,233.22,231.46,96.09,94.77,100.6,66101.67,67715.75,13624.04,0.99,0.99,0.95,17,291.31,4283715328,1892201600,4683016704,34.2,37.5,31.4
2/8/2020 21:00,235.07,235.13,233.12,106.5,92.39,100.03,67735.75,70068.95,17135.24,0.98,0.98,0.94,29.14,298.76,4283779072,1892216960,4683081216,30.7,31.6,30.1
2/8/2020 22:00,232.99,233.28,231.16,86.28,69.95,82.72,54684.75,55520.3,8972.53,0.99,1,0.96,27.94,238.84,4283840768,1892230016,4683142656,29.7,30,29.3
2/8/2020 23:00,232.47,232.77,230.68,98.3,89.67,104.22,65951.16,67749.25,14622.72,0.99,0.99,0.95,26.86,292.23,4283900672,1892241792,4683202048,29.6,30.4,28.9
3/8/2020 0:00,233.05,232.87,230.95,97.48,88.94,102.35,64975.62,67133.52,16078.35,0.98,0.98,0.95,21.52,288.71,4283959040,1892253312,4683260416,29.3,30.2,28.9
3/8/2020 1:00,233.14,232.56,230.7,89.4,79.69,94.25,59861.76,61150.3,11472.54,0.99,0.99,0.95,25.96,263.41,4284017408,1892265856,4683318784,28.7,29.2,28.1
3/8/2020 2:00,235.07,234.83,232.89,101.94,86.33,104.41,66168.15,68550.36,16723.37,0.98,0.98,0.94,31.07,292.45,4284076032,1892278400,4683377664,28.6,29,28.2
3/8/2020 3:00,232.69,232.48,230.74,96.71,79.58,98.28,62204.28,63607.05,12747.39,0.99,0.99,0.96,28.92,274.44,4284132864,1892289536,4683433984,27.6,28.7,25.9
3/8/2020 4:00,233.34,232.77,231.11,92.48,83.01,101.49,62289.7,64336.89,15508.65,0.98,0.99,0.94,25.96,276.96,4284190720,1892301696,4683491840,27,27.6,25.9
3/8/2020 5:00,233.39,233.93,232.01,90.53,83.31,90.43,59996.52,61488.98,12798.76,0.99,0.99,0.95,22.34,264.06,4284248064,1892313472,4683549184,25.4,25.9,24.9
3/8/2020 6:00,230.82,231.74,229.86,89.65,78.16,96.96,59341.13,61067.89,13296.27,0.99,0.99,0.94,31.45,264.73,4284304128,1892325504,4683604992,25.7,26.4,25.2
3/8/2020 7:00,230.82,231.4,229.52,123.51,105.98,126.15,78240.06,82052.29,24116.61,0.97,0.96,0.94,28.89,355.69,4284368128,1892342016,4683670528,26.2,27,25.1
3/8/2020 8:00,231.54,232.32,230.5,169.42,151.18,167.05,101715.5,112808.28,48310.31,0.93,0.91,0.87,37.2,487.53,4284456704,1892376320,4683765248,28.3,29.8,26.8
3/8/2020 9:00,228.57,229.17,227.5,210.37,192.72,201.74,125430.75,138006.45,57237.41,0.93,0.92,0.87,41.29,604.71,4284572160,1892430336,4683892736,30.4,30.8,29.8
3/8/2020 10:00,230.04,231.34,229.48,240.47,228.99,229.75,145042.17,161279.58,70068.07,0.92,0.91,0.87,34.12,699.5,4284706560,1892495360,4684041728,31.2,31.7,30.3
3/8/2020 11:00,229.45,230.48,228.76,294.08,302.34,287.76,179034.55,203122.58,95359.49,0.9,0.89,0.84,25.97,883.97,4284868864,1892586496,4684227072,32.8,33.7,32
3/8/2020 12:00,229,230.68,228.8,295.42,297.88,290.04,175999.34,202718.78,100150.48,0.89,0.88,0.83,26,883.23,4285042176,1892682752,4684424704,35,36.7,33.8
3/8/2020 13:00,229.69,231.05,228.88,291.43,296.63,277.65,172707.58,199109.5,97949.88,0.9,0.88,0.83,32.12,865.77,4285210880,1892777472,4684617216,36.7,37.4,35.4
3/8/2020 14:00,232.22,233.36,231.39,230.8,241.3,230.02,147407.03,163063.06,69203.42,0.92,0.92,0.86,22.3,702.1,4285349120,1892846592,4684771840,37.9,38.7,36.8
3/8/2020 15:00,233.88,235.49,233.03,235.21,242.65,232.94,152675.61,166428.95,65429.43,0.94,0.93,0.88,21.47,710.66,4285490688,1892911232,4684927488,39.4,40.4,38.5
3/8/2020 16:00,232.38,233.43,231.37,196.15,189.56,187.19,124142.12,133182.12,47608.99,0.95,0.95,0.9,31.58,572.8,4285619712,1892961792,4685065728,38.4,39.6,37.7
